,Party,Year,Date,Tweet,Populist,Role,Left/right,Prog/cons
8104,PvdD,2022,2022-03-04,Luistertip voor de vrijdagmiddag: om 18.00 uur gaat @estherouwehand in debat op @NPORadio1 voor de gemeenteraadsverkiezingen 🎧#GR22 #gemeenteraadsverkiezingen2022,no,opposition,left,progressive
8105,BBB,2022,2022-10-08,@RoelEijgenraam We wachten met spanning de brief van het kabinet over dit advies af.,yes,opposition,right,conservative
8106,D66,2023,2023-02-14,"Een stage niet krijgen vanwege je naam of huidskleur? Voor veel mbo-studenten is dat realiteit.Wat @RHDijkgraaf betreft, gaan scholen daarom zélf studenten op stages plaatsen. Zo gaan we discriminatie tegen en krijgt iedere student een fijne stageplek. https://t.co/l9xH8YH2HD",no,coalition,middle,progressive
8107,BIJ1,2022,2022-09-28,"Door andere debatten en Kamerverplichtingen is @SylvanaBIJ1 dit keer helaas niet aanwezig bij het #coronadebat.We hebben forse kritiek op de huidige koers, en delen toch graag een verkorte versie van de standpunten die we vandaag zouden inbrengen 👇",no,opposition,left,progressive
8108,PvdD,2022,2022-03-11,"2️⃣2️⃣De gemeente roept de klimaat- en biodiversiteitscrisis uit. Met: 👉een ambitieus klimaatplan met bijbehorend budget 🌡️👉concrete, afrekenbare tussendoelen 🗒️👉een biodiversiteitsherstelplan 🐞#100redenen om #PvdD te stemmen #GR2022 #allekleinebeestjeshelpen https://t.co/XrrliHVfgI",no,opposition,left,progressive
8109,VVD,2022,2022-03-14,"""De VVD wil altijd investeren in defensie, in onze veiligheid.""- Fractievoorzitter @hermans_sophie bij Op1.",no,coalition,right,conservative
8110,PvdD,2023,2023-02-03,"De huidige vee-industrie is niet alleen wreed en onhoudbaar voor de dieren, maar ook gevaarlijk voor de volksgezondheid: steeds meer mensen raken besmet met vogelgriep.Het vogelgriepvirus gaat niet meer weg. Wanneer neemt het kabinet dit serieus en komen de echte maatregelen? https://t.co/FgpqDIqZFf",no,opposition,left,progressive
8111,Volt,2022,2022-09-09,Kinderarmoede en het aantal kinderen dat met honger naar school gaat neemt toe. Daarom moeten we onderzoeken of het mogelijk is om per direct (tijdelijk) gratis lunches te verstrekken. @ArjenvSilfhout stelde er namens @VoltDenBosch vragen over.,no,opposition,middle,progressive
8112,Volt,2023,2023-02-20,"Sluit je aan bij de protestmars op 24 februari! Samen staan we sterk en tonen we solidariteit. Wij zijn er ook, net als @PvdA, @D66, @SPnl en @groenlinks. Zij-aan-zij voor #Oekraïne 🇺🇦 #StandbyUkraine",no,opposition,middle,progressive
8113,GroenLinks,2023,2023-02-23,Of er animo is voor groene en sociale politiek in Nederland? Dacht het wel!GroenLinks heeft een recordaantal van bijna 34.000 leden. En dat stijgt door: alleen al in dit jaar werden bijna duizend mensen lid van GroenLinks! ❤️💚Doe je mee?https://t.co/Z3vUL6T5DI,no,opposition,left,progressive
8114,BBB,2023,2023-02-01,"@beroepszeikerd @apHeller @BBBGelderland Juist Harry, dat is het probleem wat we opgelost willen zien.",yes,opposition,right,conservative
8115,DENK,2022,2022-12-13,#DENK presenteert doorgewinterde politicus Ismail El Abassi als #lijsttrekker voor de Provinciale Staten van Utrecht. Lees meer👇 https://t.co/q36M8ugc2k https://t.co/ricoPZoXOP,no,opposition,left,progressive
8116,BBB,2023,2023-01-23,"@Marcel_van_OB @2eKamertweets Als je denkt dat wij het onzalige VVD en CDA beleid voort willen zetten ben je gewoon niet geïnformeerd. Maar je opmerking ging over het vertegenwoordigen van het belang van burgers. Onze bijdragen wel gezien over Groningen, pensioenstelsel, zorg, koopkracht etc etc ?",yes,opposition,right,conservative
8117,FvD,2023,2023-01-04,"De #bevolkingsgroei in Nederland komt UITSLUITEND door IMMIGRATIE. De oplossing voor de woningnood - en nagenoeg ALLE andere capaciteitsproblemen in NL: zorg, onderwijs, enz. - is dus héél eenvoudig:- Stop de massale immigratie- Zet in op remigratieNederlanders eerst! #FVD https://t.co/L5UEuAvleL",yes,opposition,right,conservative
8118,GroenLinks,2022,2022-03-09,📍 Leidschendam-VoorburgBijna 1 op de 10 mensen die menstrueren heeft geen geld heeft om menstruatieproducten te kopen. @GroenLinks_LV werkt eraan dat aan te pakken:https://t.co/s8JD2PTiYW,no,opposition,left,progressive
8119,BBB,2022,2022-07-22,Sommige partijen lopen continu achter bij het toepassen van gezond verstand. Maar claimen straks met droge ogen het zelf uitgevonden te hebben.Gelukkig trappen steeds minder burgers daar nog in...,yes,opposition,right,conservative
8120,JA21,2022,2022-04-21,Morgen presenteren wij het JA21 luchtvaartplan! 🛫Ons Kamerlid @MGoudzwaard058 vertelt erover bij WNL Goedemorgen Nederland. Kijktip!,yes,opposition,right,conservative
8121,Volt,2022,2022-12-03,Nieuwe 🇺🇸 regels maken het voor bedrijven die we nodig hebben om te #verduurzamen aantrekkelijker om in 🇺🇸 te produceren dan in. Gaan we nu weer instemmen met afhankelijkheid van van anderen? #Volt wil een Europees steunfonds. 1/2 https://t.co/LVXlDing3o,no,opposition,middle,progressive
8122,FvD,2023,2023-01-29,Steun @thierrybaudet en de rest van het FVD team tijdens de campagne van de Provinciale Statenverkiezingen. Word actief in jouw eigen dorp of wijk en draag bij aan een overweldigend verkiezingsresultaat voor #FVD!Word actief! 👉🏻 https://t.co/m1ypuM19FM https://t.co/8PbpKoU36q,yes,opposition,right,conservative
8123,BBB,2022,2022-06-10,@DraaiJorgen @NUnl Gehaktbal,yes,opposition,right,conservative
8124,BBB,2022,2022-07-09,1 hondendrol is al te veel....,yes,opposition,right,conservative
8125,BBB,2022,2022-01-12,@RaoulTheGerman @LauraBromet @groenlinks Het begint nu al te jeuken en te knagen,yes,opposition,right,conservative
8126,JA21,2022,2022-05-28,JA21 wil met u in gesprek! Daarom organiseren wij onze provincietour. Maandag gaan wij naar Limburg. U bent van harte welkom om met Joost @Eerdmans  en @MGoudzwaard058 in gesprek te gaan over de toekomst van Nederland. Kom ook! #Roermond  https://t.co/cWQIlCewoN https://t.co/ZGGkMkQgtN,yes,opposition,right,conservative
8127,BBB,2022,2022-10-24,"De grenzen van ons #asielsysteem zijn ruimschoots bereikt en overschreden. Opnieuw zal het platteland, wat al decennialang onevenredig veel vluchtelingen opvangt, de grootste klappen moeten gaan opvangen. BBB wil een acute #asielstop. (1/3) https://t.co/7Y6tKTbYSW",yes,opposition,right,conservative
8128,BBB,2022,2022-11-11,"@margreetbosma1 Van Haga, Wilders, Smeets, Omtzigt, Keijzer....",yes,opposition,right,conservative
8129,BBB,2022,2022-10-24,"1. Fractievoorzitters overleggen niet met asielwoordvoerder of;2. Coalitiepartijen jokken dat zij niet van deal weten of;3. Staatssecretaris voert druk op bij coalitie. Het is iig niet dualistisch, integer en collegiaal. Daarom deed @lientje1967 niet mee aan #asieldebat. 2/2 https://t.co/pBjiEhFdMV",yes,opposition,right,conservative
8130,BBB,2022,2022-10-27,We weten niet eens wat de effecten van windturbines en stroomkabels op zee zijn. Dat wordt pas later onderzocht.... De geluidsgolven en magnetische velden zullen zeker effect hebben. Vooraf nadenken en onderzoek doen en energietransitie lijken niet echt samen te gaan...,yes,opposition,right,conservative
8131,BBB,2023,2023-03-07,Ons stikstofbeleid is een politieke keuze...,yes,opposition,right,conservative
8132,VVD,2022,2022-12-12,Lees hier het hele interview met Minister van Justitie en Veiligheid @DilanYesilgoz. 👇https://t.co/5Feg5TuqMU https://t.co/TBLOu7AkrD,no,coalition,right,conservative
8133,DENK,2022,2022-09-19,💶😞 Nederland Europees kampioen gasprijzen! #energierekening #energieprijzen #gasprijzen https://t.co/KEmJRLKnDf,no,opposition,left,progressive
8134,D66,2022,2022-12-06,@Kniepp1 Andere landen dienen als voorbeeld om ons in te laten zien hoe belangrijk het is dat wij in Nederland dit vrouwenrecht blijven beschermen en moderniseren. ^Noa,no,coalition,middle,progressive
8135,PvdD,2022,2022-03-09,"@evelynazonnetje @PvdA @cdavandaag @christenunie De klimaat- en energiecrisis bestrijden, is van levensbelang. Dit beleid dient de kwetsbaarste te ontzien en de sterkste, zoals vervuilende grote bedrijven, de zwaarste lasten te laten dragen. Maar burgers met een zeer hoog inkomen zullen zelf hun steentje moeten bijdragen.",no,opposition,left,progressive
8136,SP,2022,2022-01-14,Lees hier meer over Weggecijferd. Teruggevochten. 👇  https://t.co/beq4FieYJO,yes,opposition,left,progressive
8137,BBB,2022,2022-04-11,Bouwen met gezond verstand,yes,opposition,right,conservative
8138,FvD,2022,2022-12-31,"⏳ Nog maar 12 UUR te gaan! Dan gaan we het nieuwe jaar in. Hoe méér leden #FVD heeft op 1 januari, hoe minder subsidie er overblijft voor Rutte en Kaag. Dit is de eindsprint! Word nu lid en overtuig uw omgeving om hetzelfde te doen!Ga naar https://t.co/x0kC6zR3bL! https://t.co/vDLUJKzaUu",yes,opposition,right,conservative
8139,JA21,2022,2022-02-02,"De #VVD zit al meer dan 10 jaar aan de knoppen. Een eerlijke vermogensbelasting op basis van een werkelijk rendement wordt kabinet na kabinet uitgesteld. Spaarders, met name ouderen, zijn ervan de klos. JA21-Kamerlid @DJeppink vraagt: verD66't de VVD niet? https://t.co/1iqjZq1vL3",yes,opposition,right,conservative
8140,D66,2022,2022-03-12,@RRidder4 Knap! Je hebt ons ontmaskerd! ^Kaj,no,coalition,middle,progressive
8141,PvdA,2022,2022-09-08,"Terwijl de oorlog voortduurt, bouwen Oekraïners hun land weer op. Hou kunnen Nederland en Europa daar bij helpen? 🔨Praat hierover mee op vrijdag 16 september van 19:00-22:00, in Den Haag, met Oekraïense én Nederlandse experts en politici! Meld je aan: https://t.co/2tYywWpaOk https://t.co/ojEe4vIOvq",no,opposition,left,progressive
8142,JA21,2023,2023-02-18,Lees hier het volledige interview met @Ananninga 👇 https://t.co/Mr0Ly4XKyV,yes,opposition,right,conservative
8143,FvD,2023,2023-02-27,Vrijdag 3 maart komt #FVD naar Groningen. Ontmoet gelijkgestemden en ga in gesprek met onze volksvertegenwoordigers. Toegang is volledig gratis - dus reserveer snel je kaartjes!https://t.co/o0D0Z3CROc,yes,opposition,right,conservative
8144,BBB,2022,2022-08-13,"@AddviseG @wdrvdweerd @gwdubbeldam @DevliegerErik @ChrisAalberts Nou vertel, waar baseer je dat op?",yes,opposition,right,conservative
8145,BBB,2022,2022-12-31,@studio_pls @LauraBromet @FD_Nieuws Bouwmateriaal is belangrijk maar kun je niet eten.,yes,opposition,right,conservative
8146,BIJ1,2022,2022-05-12,"""Het zijn de bestaande systemen die ons hier gebracht hebben. Een systeem dat deze ouders al jaren faalt.Het kan niet zo zijn dat diezelfde systemen voor oplossingen gaan zorgen.""@SylvanaBIJ1 tijdens het debat over de #Uithuisplaatsingen. https://t.co/wzFEbEA25p",no,opposition,left,progressive
8147,BBB,2022,2022-01-27,@paulstolk @berrybouw het programma was er al voordat we in het parlement zaten ;),yes,opposition,right,conservative
8148,PvdA,2023,2023-03-03,Lees ons plan voor betaalbaar wonen. ⤵️https://t.co/1jvFPCCQow,no,opposition,left,progressive
8149,JA21,2022,2022-12-19,"""Geen windturbines, maar woningen!"" @Michielfisc, lijsttrekker @JA21Utrecht",yes,opposition,right,conservative
8150,FvD,2022,2022-12-19,"Ongelooflijk. Het kabinet vliegt naar maar liefst 8 (!) plekken wereldwijd om excuses te maken voor het 'slavernijverleden', terwijl de problemen in Nederland zich blijven opstapelen. Wanneer is het afgelopen met deze waanzin? Focus op Nederland! #FVD https://t.co/rLfZWpfcub",yes,opposition,right,conservative
8151,PVV,2022,2022-02-13,"Er zijn te weinig toiletten en douches, zeggen ze, ze slapen met grote gezinnen in een kamer, er is te weinig eten, er gaat geen bus van en naar de noodopvang.Ze krijgen alles gratis en klagen steen en been: WEGWEZEN!!https://t.co/rRhilhEtk7 via @trouw",yes,opposition,right,conservative
8152,PVV,2022,2022-05-24,Wat moet je daar weer Rutte tussen al die elitaire patsers met hun privévliegtuigen die aan niemand verantwoording afleggen en in hun grenzeloze arrogantie pretenderen te weten hoe WIJ ons leven moeten leiden? Walgelijk.,yes,opposition,right,conservative
8153,GroenLinks,2023,2023-02-14,Stop het klimaatvandalisme en sluit de kolencentrales in 2025!Kan gewoon. 👇https://t.co/GzWXyBX7mi,no,opposition,left,progressive
8154,BBB,2022,2022-12-15,'Een (naar moderne maatstaven) nogal amateuristisch systeem uit de vorige eeuw beter zou presteren voor gepensioneerden dan dit dure geavanceerde wetsvoorstel' - @lientje1967 in het #pensioendebat (2/4) https://t.co/x1rLgJ9ubL,yes,opposition,right,conservative
8155,PvdA,2023,2023-02-27,Kun jij straks nog met de bus naar school of werk? 🚌De afgelopen jaren verdwenen er vijfhonderd (!) bushaltes in Nederland. Daardoor hebben steeds meer mensen moeite om met het openbaar vervoer te reizen. https://t.co/AVEfhBSwyb,no,opposition,left,progressive
8156,D66,2023,2023-03-09,Het is aan huisbazen om bovenstaande problemen te fixen. Maar soms weigeren zij om in actie te komen. Voor die studenten heeft @Fboulakjar een brief opgesteld. Want zij verdienen een leefbaar huis.  📩https://t.co/Y4m9eI47Mf,no,coalition,middle,progressive
8157,GroenLinks,2022,2022-02-12,"""Het systeem is rot, en dat moeten we aanpakken.En wij kunnen dat.We blijven bij onze idealen, staan samen met linkse en progressieve bewegingen tegen oprukkend fascisme en bieden mensen een toekomst.""@DWARS -voorzitter @HiskeScholtens op het #GroenLinksCongres ❤️💚 https://t.co/Wq1uHRQK3o",no,opposition,left,progressive
8158,VVD,2022,2022-04-06,De hoge energiekosten raken mkb'ers hard. Daarom moeten we ondernemers helpen verduurzamen om kosten te besparen. Tweede Kamerlid @SilvioErkens in het AD. https://t.co/56LNAXnpZu,no,coalition,right,conservative
8159,BBB,2023,2023-01-20,@FouadAkka @gerritwermink Ondoordachte woorden.....,yes,opposition,right,conservative
8160,Volt,2022,2022-06-08,"Het vetorecht was bedoeld om de rechten van kleine lidstaten te beschermen, maar tast in de praktijk vermogen van de Unie aan om op te treden voor welzijn van Europeanen. Onderteken de petitie en open brief waarin wordt gepleit voor afschaffen vetorecht: https://t.co/hqOOlQbmg5 https://t.co/i6zFVjgYEC",no,opposition,middle,progressive
8161,FvD,2022,2022-07-13,Afgelopen zondag organiseerde @ForumForDemos een groot symposium over de situatie in Oekraïne. Uniek in Europa en de rest van de wereld. #symposiumukraine #FVD https://t.co/nV5uBi6TLa,yes,opposition,right,conservative
8162,BBB,2022,2022-12-07,"Deze twee vliegvelden zijn van groot belang voor de regio, zoals bijvoorbeeld voor de orgaantransporten van het Universitair Medisch Centrum Groningen. @SchipholWatch, dit heeft niets te maken met stikstofaankopen door de Schiphol Group.",yes,opposition,right,conservative
8163,JA21,2022,2022-02-03,JA21 kreeg honderden E-mails over de box-3 regeling. De Hoge Raad oordeelde dat deze regeling in strijd is met de wet. Burgers betaalden té veel vermogensbelasting. #JA21 Kamerlid @DJeppink roept het kabinet op tot 'ruimhartige of volledige compensatie voor gedupeerden'. https://t.co/6OJp803fzS,yes,opposition,right,conservative
8164,PVV,2022,2022-05-22,Goedemorgen Nederland! https://t.co/jjJeYusl9L,yes,opposition,right,conservative
8165,BBB,2022,2022-04-12,"""Wij van wc-eend...""",yes,opposition,right,conservative
8166,BBB,2022,2022-08-11,@Roelof_mik Gecondoleerd 🌸,yes,opposition,right,conservative
8167,FvD,2022,2022-10-01,Democratie in gevaar: kabinet wil FVD het zwijgen opleggen #FVD https://t.co/BMQQFAFwog,yes,opposition,right,conservative
8168,BBB,2022,2022-08-06,"Onze man van het eerste uur en bestuurslid @ad_baltus, is Boer, Brandweerman en vooral een Bikkel (BBB)! Vandaag voltooide hij de 100 km lange wandeltocht “De 100 van Leeghwater” in Noord-Holland. Gefeliciteerd Ad. We zijn trots op je! 💪💪 🚶‍♂️ 🥾 https://t.co/JcMAz17Pvg",yes,opposition,right,conservative
8169,BBB,2023,2023-01-27,@polanusadvocaat @lientje1967 Sterk inhoudelijk betoog!,yes,opposition,right,conservative
8170,GroenLinks,2022,2022-02-12,"Het #GroenLinksCongres zit erop! Nog maar 4 weken tot de gemeenteraadsverkiezingen. Maak met ons Nederland menselijk, eerlijk en duurzaam! ❤️💚 Kom in actie: https://t.co/HP8hTFjj5M #StemGroenLinks",no,opposition,left,progressive
8171,BBB,2022,2022-05-27,@HaagseInsider @groenlinks @PvdA_EK De Statenverkiezingen gaan zeker een landelijke betekenis krijgen. Maar heel anders dan je hier nu schetst.,yes,opposition,right,conservative
8172,JA21,2023,2023-02-11,"Zelfs na 24 miljard te investeren in absurde kabinetsplannen om NL van het stikstofslot te halen, blijft 96% op rood staan. Dit beleid is onhoudbaar. JA21 heeft een reparatiewet en kiest voor een realistisch stikstofbeleid met ruimte voor boeren en bouwen. #HetMoetEchtAnders https://t.co/RKCg1k4HN0",yes,opposition,right,conservative
8173,D66,2022,2022-04-06,"Mensen die te maken hebben gehad met seksueel geweld weten vaak niet waar ze terecht kunnen. De een zoekt een dokter, de ander een agent, advocaat of psycholoog.@Hannekevdwerf wil één heldere weg naar hulp voor slachtoffers: een Eerste Hulp na seksueel geweld. 👇 #Dbunked https://t.co/Q0VgB5cL0C",no,coalition,middle,progressive
8174,BBB,2022,2022-07-10,@TolkampArjan @JanCeesVogelaar @trouw @telegraaf @volkskrant @nrc @boerderij_vndg @FD_Nieuws @EenVandaag Wil je die ook met ons delen?,yes,opposition,right,conservative
8175,SP,2022,2022-03-22,"De energieprijs is geëxplodeerd. Daarom willen wij de energiebelasting op gas naar 0 euro. De allerrijksten vragen wij om een eerlijke bijdrage, want bij elke crisis profiteren zij het meest.Geen belasting op verwarming, teken ook!👉https://t.co/Rg1BYrZjIK https://t.co/EV3bX7ab9Y",yes,opposition,left,progressive
8176,D66,2023,2023-02-10,@BoerBurgerB @FBoulakjar @JuisteAntwoord BBB dreigt boeren en burgers stilstand te brengen door te suggereren dat het in de Vogel en Habitatrichtlijn niet over stikstof gaat. ^Ivo /1,no,coalition,middle,progressive
8177,D66,2022,2022-04-18,Lees hier de reactie van het landelijke bestuur op de oproep van een aantal D66-leden: https://t.co/Cx8p0DdzZ7,no,coalition,middle,progressive
8178,PVV,2022,2022-11-01,"Half Nederland valt om. Mensen met een baan, met een uitkering, bakkers, tuinders, ze trekken het niet meer. Inflatie, energie, boodschappen, het is teveel. En het kabinet helpt vooral de asielzoekers. #Wilders #PVV #Interpellatie https://t.co/6OPgwoUHkY",yes,opposition,right,conservative
8179,BIJ1,2022,2022-11-03,We willen dat iedereen op een waardige manier oud kan worden. Toch komt er een enorme bezuiniging van 600 miljoen op wijkverpleging. Helaas heeft onze motie om deze bezuiniging niet door te zetten het niet gehaald ❌️ https://t.co/UZFgninAt0,no,opposition,left,progressive
8180,FvD,2023,2023-02-04,"""#FVD is inmiddels een vaste waarde binnen het politieke bestel. De partij kan rekenen op een aanzienlijke achterban en bovendien blijkt steeds vaker dat ze met haar kritiek de tijd vooruit is."" https://t.co/m1Ynq8qO44",yes,opposition,right,conservative
8181,FvD,2022,2022-03-02,"De Theater Tour gaat dit weekend van start. Ontmoet onze Kamerleden, luister naar speeches van onder andere @thierrybaudet en ervaar het onoverwinnelijke enthousiasme van onze campagne! Dit weekend in Friesland en Gelderland. Bestel je tickets NU! #FVDhttps://t.co/7bJKWApH0T https://t.co/As5SwxPSpV",yes,opposition,right,conservative
8182,D66,2022,2022-11-19,@Kurtmans80 @RHDijkgraaf @jpaternotte @SigridKaag Je autocorrectie stond uit volgens mij. Net zoals je andere filters. ^Ivo,no,coalition,middle,progressive
8183,PvdA,2022,2022-09-21,"“We moeten bereid zijn andere keuzes te maken. Keuzes voor een sociale economie met waardering voor onmisbaar werk, hogere lonen en een stevig sociaal vangnet. En voor een sterke samenleving, met goede publieke voorzieningen.”- @attjekuiken #AlgemeneBeschouwingen",no,opposition,left,progressive
8184,BBB,2022,2022-05-03,Reële cao-lonen krimpen naar verwachting fors in 2022 https://t.co/XTI722OjyQ,yes,opposition,right,conservative
8185,PvdA,2022,2022-02-10,"@janwillemwits @PloumenLilianne @emsent Goed punt, hebben we toegevoegd aan het bericht.",no,opposition,left,progressive
8186,D66,2022,2022-09-04,Zorg jij straks dat leden en medewerkers van D66 alle digitale systemen goed kunnen gebruiken?We zoeken een innovatieve projectbegeleider met gevoel voor techniek en met de ambitie om D66 vooruit te brengen.Lees verder en solliciteer 👇https://t.co/mGnAZ84vTF,no,coalition,middle,progressive
8187,D66,2023,2023-01-11,"@magicmick020 @CeesdeBoer7 Dag Mick, we gaan graag het gesprek aan. Je mag ons altijd een DM sturen met vragen! ^Ivo",no,coalition,middle,progressive
8188,BBB,2022,2022-08-01,@AG28071973 @lientje1967 Zie artikel en kvk website voor echte feiten ipv deze nonsens:https://t.co/zxzSX8sHty https://t.co/xtClvs7BrJ,yes,opposition,right,conservative
8189,PVV,2022,2022-11-25,"Waanzin. Laat ze aan Nederlanders excuses aanbieden voor het kapotmaken van ons land en het discrimineren van Nederlanders die in tegenstelling tot gelukzoekers niks gratis krijgen, geen woning, geen zorg, geen eten geen verwarming, helemaal niets. Dit kabinet is ziek, doodziek.",yes,opposition,right,conservative
8190,PVV,2022,2022-11-10,"Vanmorgen geland terug uit de VS weer in Nederland en meteen 54 aangiftes getekend tegen jihadistische moslims die me willen slachten, mijn nek willen doorsnijden, me willen doodschieten, als een hond willen laten sterven en een magazijn kogels op me willen leegschieten… https://t.co/ANOzZBRTHC",yes,opposition,right,conservative
8191,BBB,2022,2022-11-18,De conclusie is dat het platteland stelselmatig financieel aan het kortste eind trekt en het dus moet doen met minder geld. We hebben te maken met een steden verheerlijking terwijl en nauwelijks aandacht is voor de uitdagingen die de politie op het platteland tegenkomt. (2/9),yes,opposition,right,conservative
8192,D66,2022,2022-03-08,🇪🇺 Het nieuwe kabinet wil werken aan vooruitgang. Samenwerken in Europa is daarbij essentieel. Voor een sterke economie en voor het halen van de klimaatdoelen.Daarover spreekt minister van Financiën @SigridKaag vanaf 13.00u bij @_StudioEuropa 👇https://t.co/AthKkCJkN4,no,coalition,middle,progressive
8193,FvD,2022,2022-03-14,De coronaleugens op een rij - van de cijfers tot aan het wanbeleid. Één voor één ontkracht door @GideonvMeijeren in zijn nieuwste documentaire. Gecensureerd door Pathé maar nu online beschikbaar. Kijken! #FVDhttps://t.co/SydTvKpnCB,yes,opposition,right,conservative
8194,D66,2022,2022-03-07,"De oorlog in Oekraïne is verschrikkelijk. Mensen hebben onze steun nodig. Mensen daar. En mensen die vluchten.Velen willen helpen. Die hulp maakt het verschil voor mensen. Giro555 zorgt voor voedsel, dekens, zorg en onderdak. Doneer ook! 👇https://t.co/sTambDyTBQ#Giro555 https://t.co/n490btEhEl",no,coalition,middle,progressive
8195,JA21,2022,2022-02-08,JA21 wil Nederland zo snel mogelijk van het stikstofslot halen. De stikstofuitstoot in Nederland is sinds de jaren negentig gehalveerd. Stikstof is een zelfgecreëerd probleem. JA21 roept het kabinet op om te stoppen met dit irrationele beleid. Wij moeten weer huizen gaan bouwen! https://t.co/dVheElG5cW,yes,opposition,right,conservative
8196,PvdD,2023,2023-01-24,Ben jij Nederlander en woon je in het buitenland? Dan kun jij 15 maart 2023 stemmen voor de Eerste Kamer. Let op! Meld je aan vóór 1 februari om je officiële stemformulier te ontvangen 👉 https://t.co/4Rw0J6AvI1#eerstekamer #verkiezingen #stemmen #buitenland #kiescollege https://t.co/IdbJvYCpdV,no,opposition,left,progressive
8197,SGP,2022,2022-04-25,"Op zaterdag 25 juni D.V. organiseren we voor onze (nieuwe) leden en hun gezin een SGP-familiedag in het Archeon. Zet u het alvast in uw agenda? Voor slechts €11,- kunt u (samen met uw gezin) genieten van een leuk dagje uit. Ga voor meer informatie naar https://t.co/GHe0yLnswm. https://t.co/N0GBJzxwAm",no,opposition,right,conservative
8198,SGP,2022,2022-01-21,Is de Kamer een 🐍🐍-kuil? Gaat 2G de 🗑 in? Wat wil Macron met abortus? En hoe denkt Rutte IV over 👨‍🌾🚜? In een kwartiertje praten we jullie bij in het SGP-WEEKJOURNAAL! Vanavond vanaf 19.30 uur op ons YouTube-kanaal.▶️ https://t.co/cLBhYa5ohN https://t.co/qet1kiWUoF,no,opposition,right,conservative
8199,JA21,2023,2023-01-31,"Zolang Rutte IV telkens nieuwe opvangplekken blijft creëeren, krijgen wij geen grip op de #asielinstroom. Het is pure symptoombestrijding. Met 19.000 nieuwe opvangplekken blijft het kabinet de problemen voor zich uit schuiven.Wat NL nodig heeft is een #asielstop. https://t.co/382l1vbUHo",yes,opposition,right,conservative
8200,PvdD,2022,2022-02-15,9️⃣6️⃣ Ruim baan voor voetgangers en fietsers!🚶‍♂️🚴De hoeveelheid gemotoriseerd verkeer wordt sterk teruggedrongen.➡️Binnen de bebouwde kom geldt in principe een maximumsnelheid van 30 km/h.#100redenen om #PvdD te stemmen #GR2022 #allekleinebeestjeshelpen,no,opposition,left,progressive
8201,FvD,2023,2023-02-27,"Donderdag 2 maart komt #FVD naar Limbricht! Ontmoet onze kamerleden, stel al je politieke vragen en ontdek wat FVD voor jou kan betekenen!https://t.co/U2zJiQP3YD",yes,opposition,right,conservative
8202,Volt,2022,2022-09-21,"Volt wil dat we stoppen mensen die een uitkering hebben, mensen die langdurig ziek zijn, het leven nóg moeilijker te maken.#APB2022 #AlgemeneBeschouwingen https://t.co/9kl0buoBLf",no,opposition,middle,progressive
8203,D66,2022,2022-06-20,"@MrSpindel @TjeerdD66 In het coalitieakkoord hebben we afgesproken dat alle sectoren moeten bijdragen aan stikstofreductie, dus ook deze bedrijven. Echter is het van belang dat de veehouderij de grootste bijdrage doet aangezien zij voor verantwoordelijk zijn voor 61% van de stikstofuitstoot. ^Kim",no,coalition,middle,progressive
8204,D66,2022,2022-05-24,"Cultuur is geen simpele vrijetijdsbesteding, maar van levensbelang voor de samenleving. Daarom willen wij dat het aantrekkelijk blijft om te werken in de kunst &amp; cultuur.Hoe we dat doen? Door een herstelplan én structureel meer geld. ⤵️ https://t.co/6Hq9mJVaDP",no,coalition,middle,progressive
8205,PVV,2022,2022-09-17,Terrorist Mohammed Bouyeri en topcrimineel Ridouan Taghi sturen vanuit hun cel brieven met Koranverzen naar elkaar waarin mogelijk gecodeerde boodschappen zijn verwerkt. Wellicht ontvoeringen en aanslagen beraamd. En het kabinet laat dit gewoon gebeuren. Wat een incompetentie!,yes,opposition,right,conservative
8206,BBB,2022,2022-10-06,"'Wij, met ons inkomen van tussen de 120.000 en 180.000 euro per jaar, worden een beetje minder rijk. Laten we het beestje gewoon bij de naam noemen en de burger niet als gekke Henkie behandelen.' - @lientje1967 over de uitspraak dat wij met zijn allen 'een beetje armer worden'. https://t.co/gunf6cS5p5",yes,opposition,right,conservative
8207,BBB,2022,2022-07-29,"@SlootLau @foodlog_nl Hoge prijzen van brandstof en andere grondstoffen, beschikbaarheid energie en financieringsproblemen door de Stikstofplannen 'die boven de markt hangen' ?",yes,opposition,right,conservative
8208,JA21,2023,2023-02-10,"Kamerlid @NickiVerweij en Brabantse lijsttrekker @WillemRutjens schreven mee aan de JA21-woonvisie. Onze woningbouw zit op slot door verstikkende regels. Door overbodige regeldruk weg te nemen, kunnen we weer gaan bouwen! https://t.co/KQzJ3Eafm2",yes,opposition,right,conservative
8209,FvD,2023,2023-01-09,"Onze democratie staat onder druk. Het parlement wordt steeds vaker buitenspel gezet door ongekozen, internationale clubs.  Vanavond, 20:00 uur bij Forum Inside: @thierrybaudet, @paulcliteur en @realMartinBos over de staat van onze democratie. 👉🏼 https://t.co/LHUuVMVCvk #FVD https://t.co/a3E5NAhAoK",yes,opposition,right,conservative
